feature 1,feature 2,pass
0.05126699999999999,0.6995600000000001,yes
-0.09274199999999999,0.68494,yes
-0.21370999999999998,0.69225,yes
-0.375,0.5021899999999999,yes
-0.51325,0.46563999999999994,yes
-0.52477,0.2098,yes
-0.39804,0.034357,yes
-0.30588000000000004,-0.19225,yes
0.016705,-0.40424,yes
0.13191,-0.51389,yes
0.38537,-0.56506,yes
0.5293800000000001,-0.5212,yes
0.6388199999999999,-0.24341999999999997,yes
0.73675,-0.18494000000000002,yes
0.54666,0.48757,yes
0.322,0.5826,yes
0.16647,0.53874,yes
-0.046659,0.81652,yes
-0.17339000000000002,0.6995600000000001,yes
-0.47868999999999995,0.63377,yes
-0.60541,0.59722,yes
-0.62846,0.33405999999999997,yes
-0.5938899999999999,0.005117,yes
-0.42108,-0.27266,yes
-0.11578,-0.39693,yes
0.20104,-0.6016100000000001,yes
0.46601000000000004,-0.53582,yes
0.6733899999999999,-0.53582,yes
-0.13882,0.54605,yes
-0.29435,0.7799699999999999,yes
-0.26555,0.96272,yes
-0.16187,0.8019,yes
-0.17339000000000002,0.6483899999999999,yes
-0.28283,0.47295,yes
-0.36348,0.31213,yes
-0.30012,0.027047,yes
-0.23675,-0.21418,yes
-0.06394,-0.18494000000000002,yes
0.062788,-0.16301,yes
0.22984000000000002,-0.41155,yes
0.2932,-0.2288,yes
0.48328999999999994,-0.18494000000000002,yes
0.64459,-0.14107999999999998,yes
0.46025,0.012426999999999999,yes
0.6273,0.15863,yes
0.5754600000000001,0.26827,yes
0.72523,0.44371000000000005,yes
0.22408000000000003,0.52412,yes
0.44297,0.67032,yes
0.322,0.69225,yes
0.13767000000000001,0.57529,yes
-0.0063364,0.39985,yes
-0.09274199999999999,0.5533600000000001,yes
-0.20795,0.35599000000000003,yes
-0.20795,0.17325,yes
-0.43836,0.21711,yes
-0.21946999999999997,-0.016812999999999998,yes
-0.13882,-0.27266,yes
0.18375999999999998,0.93348,no
0.22408000000000003,0.7799699999999999,no
0.29896,0.61915,no
0.50634,0.7580399999999999,no
0.61578,0.7288,no
0.60426,0.59722,no
0.76555,0.5021899999999999,no
0.92684,0.3633,no
0.82316,0.27558,no
0.96141,0.085526,no
0.9383600000000001,0.012426999999999999,no
0.8634799999999999,-0.082602,no
0.89804,-0.20686999999999997,no
0.85196,-0.36769,no
0.8289200000000001,-0.5212,no
0.79435,-0.55775,no
0.5927399999999999,-0.7405,no
0.51786,-0.5943,no
0.46601000000000004,-0.41886,no
0.35081,-0.57968,no
0.28744000000000003,-0.76974,no
0.085829,-0.75512,no
0.14919000000000002,-0.57968,no
-0.13305999999999998,-0.4481,no
-0.40956,-0.41155,no
-0.39228,-0.25804,no
-0.74366,-0.25804,no
-0.69758,0.041667,no
-0.7551800000000001,0.2902,no
-0.69758,0.68494,no
-0.4038,0.70687,no
-0.38076,0.91886,no
-0.50749,0.9042399999999999,no
-0.54781,0.70687,no
0.10311,0.7799699999999999,no
0.057027999999999995,0.91886,no
-0.10425999999999999,0.9919600000000001,no
-0.081221,1.1089,no
0.28744000000000003,1.087,no
0.39689,0.82383,no
0.6388199999999999,0.8896200000000001,no
0.82316,0.66301,no
0.6733899999999999,0.64108,no
1.0709,0.10015,no
-0.046659,-0.57968,no
-0.23675,-0.6381600000000001,no
-0.15035,-0.36769,no
-0.49021000000000003,-0.3019,no
-0.46717,-0.13377,no
-0.28859,-0.060673000000000005,no
-0.6111800000000001,-0.067982,no
-0.6630199999999999,-0.21418,no
-0.59965,-0.41886,no
-0.72638,-0.082602,no
-0.8300700000000001,0.31213,no
-0.7206199999999999,0.53874,no
-0.5938899999999999,0.49488000000000004,no
-0.48445,0.9992700000000001,no
-0.0063364,0.9992700000000001,no
0.63265,-0.030612,no
